R_package,method,objective_name,dimension,starting_point,lower_bound,upper_bound,max_iterations,max_evaluations,all_params,value,solution,number_of_iterations,number_of_evaluations,convergence,message,execution_time,time_units,time_cluster
nloptr,sbplx,Rosenbrock,20,"(1.6535311518237, 1.44820163492113, -0.750430342741311, 2.30499161873013, -3.00787564367056, 0.0160153652541339, -0.645485240966082, 3.29015297349542, 4.53591563040391, -1.69869418023154, 4.46521376026794, 4.32463395409286, 1.34212821954861, 4.55182273872197, -1.97422047378495, -0.976727388333529, -3.0657885898836, 3.3016674220562, 4.32633575750515, -3.96255571395159)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,9000,"x0 = c(1.6535311518237, 1.44820163492113, -0.750430342741311, 2.30499161873013, -3.00787564367056, 0.0160153652541339, -0.645485240966082, 3.29015297349542, 4.53591563040391, -1.69869418023154, 4.46521376026794, 4.32463395409286, 1.34212821954861, 4.55182273872197, -1.97422047378495, -0.976727388333529, -3.0657885898836, 3.3016674220562, 4.32633575750515, -3.96255571395159), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxeval = 9000, xtol_rel = 0)",70.5031550445916,"(0.698522364568419, 0.485723106651142, 0.246994660335608, 0.0716919862524061, 0.0151523756512672, 0.0267221023077741, 0.327344946023379, 0.595838467525283, 0.765330844919075, 0.855306627078383, 0.88878334055402, 0.878979499731506, 0.822537899787799, 0.705908854975069, 0.516943409334021, 0.280531507434682, 0.089831030279161, 0.0182038302540996, 0.0101861833646781, 0.000189059281001966)",9000,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.121083498001099,secs,0.1
nloptr,cobyla,Rosenbrock,20,"(1.6535311518237, 1.44820163492113, -0.750430342741311, 2.30499161873013, -3.00787564367056, 0.0160153652541339, -0.645485240966082, 3.29015297349542, 4.53591563040391, -1.69869418023154, 4.46521376026794, 4.32463395409286, 1.34212821954861, 4.55182273872197, -1.97422047378495, -0.976727388333529, -3.0657885898836, 3.3016674220562, 4.32633575750515, -3.96255571395159)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,3000,"x0 = c(1.6535311518237, 1.44820163492113, -0.750430342741311, 2.30499161873013, -3.00787564367056, 0.0160153652541339, -0.645485240966082, 3.29015297349542, 4.53591563040391, -1.69869418023154, 4.46521376026794, 4.32463395409286, 1.34212821954861, 4.55182273872197, -1.97422047378495, -0.976727388333529, -3.0657885898836, 3.3016674220562, 4.32633575750515, -3.96255571395159), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxeval = 3000, xtol_rel = 0)",72.5754993241614,"(0.121817524683517, 0.0239341852831302, 0.00990284031546632, 0.010479683471142, 0.0130745015747683, 0.00446241210021373, -0.462756304928582, 0.725934440274409, 0.878918596476196, 0.939948720488474, 0.973591983953464, 0.98314322584947, 0.979273127389649, 0.967282518050212, 0.930076419248704, 0.856259333288933, 0.728115342786416, 0.522848473012289, 0.267299321674229, 0.0690618244733779)",3000,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0975096225738525,secs,0.1
nloptr,bobyqa,Rosenbrock,20,"(1.6535311518237, 1.44820163492113, -0.750430342741311, 2.30499161873013, -3.00787564367056, 0.0160153652541339, -0.645485240966082, 3.29015297349542, 4.53591563040391, -1.69869418023154, 4.46521376026794, 4.32463395409286, 1.34212821954861, 4.55182273872197, -1.97422047378495, -0.976727388333529, -3.0657885898836, 3.3016674220562, 4.32633575750515, -3.96255571395159)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,2500,"x0 = c(1.6535311518237, 1.44820163492113, -0.750430342741311, 2.30499161873013, -3.00787564367056, 0.0160153652541339, -0.645485240966082, 3.29015297349542, 4.53591563040391, -1.69869418023154, 4.46521376026794, 4.32463395409286, 1.34212821954861, 4.55182273872197, -1.97422047378495, -0.976727388333529, -3.0657885898836, 3.3016674220562, 4.32633575750515, -3.96255571395159), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxeval = 2500, xtol_rel = 0)",96.9605876950643,"(0.98215628976771, 0.980116846074805, 1.0054328843022, 0.991928646393552, 0.98503364020245, 0.967196726036371, 0.963385590811468, 0.923550229139712, 0.833706257928189, 0.671815876583566, 0.444613216856311, 0.158015184631728, 0.0199597328295415, 0.0736506272594193, 0.0218434612059094, 0.00759342904581074, -0.755494422632412, 1.08388628052879, 1.37793357553379, 1.86702538429808)",2500,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0948145389556885,secs,0.1
stats,optim,Rosenbrock,20,"(-3.30419006291777, 4.16803405852988, -2.41098970174789, 0.251672032754868, -3.27666776953265, -4.91958325495943, 2.92588275391608, 3.19309774087742, 1.41840828116983, 4.38775383867323, 2.6929804100655, 4.99371412675828, 4.75105408579111, 0.880130897276103, -0.837277150712907, 0.191290378570557, 2.03608832787722, -2.12004297645763, -4.06340352958068, -1.33631140226498)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",300,-,"par = c(-3.30419006291777, 4.16803405852988, -2.41098970174789, 0.251672032754868, -3.27666776953265, -4.91958325495943, 2.92588275391608, 3.19309774087742, 1.41840828116983, 4.38775383867323, 2.6929804100655, 4.99371412675828, 4.75105408579111, 0.880130897276103, -0.837277150712907, 0.191290378570557, 2.03608832787722, -2.12004297645763, -4.06340352958068, -1.33631140226498), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, method = L-BFGS-B, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxit = 300, factr = 0)",3.98662397950439,"(-0.99328474806988, 0.996649391340568, 0.998328497865613, 0.9991658217792, 0.9995832451836, 0.999791280375093, 0.999894939415581, 0.99994654217533, 0.999972162493744, 0.999984698553115, 0.99999050434276, 0.999992551886282, 0.999991822170867, 0.999987965888061, 0.999979012572397, 0.999960419681409, 0.999922888729332, 0.999847412264102, 0.999695897180566, 0.999391893461465)",190,190,0,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.0729284286499023,secs,0.1
GA,ga,Rosenbrock,20,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",60,-,"type = real-valued, fitness = function (x) 
{
    return(-Rosenbrock(x))
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), maxiter = 60",215.096198059415,"(1.05553474481579, 0.41597421280582, -0.0657917974137255, 0.400916668063329, 0.273998936903346, 0.318705576612832, -0.0150345805786884, 0.0720131357691408, -0.0046450481036213, 0.255948718344059, -0.153961974779378, -0.240341871835622, -0.330157160100199, -0.447856353378125, 0.18146402012984, 0.0617785152707476, -0.455326300097461, 0.0301080161909116, 0.437066722914665, 0.50895971655164)",60,-,-,-,0.134802103042603,secs,0.1
DEoptim,DEoptim,Rosenbrock,20,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",30,-,"fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(itermax = 30, reltol = 0)",5838.47965686234,"(0.531525596044958, -0.332910742145032, -0.421095391828567, -0.663690033834428, -0.778287701029331, -0.307579161971807, -0.770010692135245, 0.46257535694167, -0.720128098037094, 0.347007068358362, -2.04452865877226, 2.05411949321032, -0.499541659709066, 0.936016526246071, -0.374581410456449, -0.81683325953409, -1.64835328897461, 1.62356902969185, -0.764862046577036, 0.477782050613314)",30,62,-,-,0.0966310501098633,secs,0.1
pso,psoptim,Rosenbrock,20,"(-3.30419006291777, 4.16803405852988, -2.41098970174789, 0.251672032754868, -3.27666776953265, -4.91958325495943, 2.92588275391608, 3.19309774087742, 1.41840828116983, 4.38775383867323, 2.6929804100655, 4.99371412675828, 4.75105408579111, 0.880130897276103, -0.837277150712907, 0.191290378570557, 2.03608832787722, -2.12004297645763, -4.06340352958068, -1.33631140226498)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",150,-,"par = c(-3.30419006291777, 4.16803405852988, -2.41098970174789, 0.251672032754868, -3.27666776953265, -4.91958325495943, 2.92588275391608, 3.19309774087742, 1.41840828116983, 4.38775383867323, 2.6929804100655, 4.99371412675828, 4.75105408579111, 0.880130897276103, -0.837277150712907, 0.191290378570557, 2.03608832787722, -2.12004297645763, -4.06340352958068, -1.33631140226498), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxit = 150, reltol = 0)",45.3719942969591,"(0.204349718468858, 0.0517183347309997, 0.0924332611641863, 0.0479163885481711, 0.0836415196384936, 0.0447982566026971, -0.0955430186484713, 0.22884660952333, 0.397998277672704, 0.299303642121608, 0.239719309821917, 0.0803279705456698, 0.0578877212791876, -0.00793411291666512, 0.00621340994496494, -0.0248759700490578, 0.161846538251912, 0.199341183005691, 0.106876370478204, 0.0253324524782007)",150,2700,2,Maximal number of iterations reached,0.0902309417724609,secs,0.1
ABCoptim,abc_optim,Rosenbrock,20,"(-3.30419006291777, 4.16803405852988, -2.41098970174789, 0.251672032754868, -3.27666776953265, -4.91958325495943, 2.92588275391608, 3.19309774087742, 1.41840828116983, 4.38775383867323, 2.6929804100655, 4.99371412675828, 4.75105408579111, 0.880130897276103, -0.837277150712907, 0.191290378570557, 2.03608832787722, -2.12004297645763, -4.06340352958068, -1.33631140226498)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",70,-,"par = c(-3.30419006291777, 4.16803405852988, -2.41098970174789, 0.251672032754868, -3.27666776953265, -4.91958325495943, 2.92588275391608, 3.19309774087742, 1.41840828116983, 4.38775383867323, 2.6929804100655, 4.99371412675828, 4.75105408579111, 0.880130897276103, -0.837277150712907, 0.191290378570557, 2.03608832787722, -2.12004297645763, -4.06340352958068, -1.33631140226498), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lb = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), ub = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), criter = 2147483647, maxCycle = 70",40.3232321344315,"(0.488155710793618, 0.263157894736842, 0.121691049762854, 0.263157894736842, 0.0233097486615275, 0.0654633139799295, 0.040224675037832, 0.0498344348759885, 0.187675238335743, 0.0373942270839013, -0.0283124736073639, 0.0298983088074762, 0.0429417634088738, -0.00197369354864485, 0.186049411364456, 0.244370431966623, 0.234243543788829, 0.110383444421628, 0.190387796298621, 0.00304964877511588)",70,-,-,-,0.116435527801514,secs,0.1
nloptr,sbplx,Rosenbrock,20,"(-3.30419006291777, 4.16803405852988, -2.41098970174789, 0.251672032754868, -3.27666776953265, -4.91958325495943, 2.92588275391608, 3.19309774087742, 1.41840828116983, 4.38775383867323, 2.6929804100655, 4.99371412675828, 4.75105408579111, 0.880130897276103, -0.837277150712907, 0.191290378570557, 2.03608832787722, -2.12004297645763, -4.06340352958068, -1.33631140226498)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,9000,"x0 = c(-3.30419006291777, 4.16803405852988, -2.41098970174789, 0.251672032754868, -3.27666776953265, -4.91958325495943, 2.92588275391608, 3.19309774087742, 1.41840828116983, 4.38775383867323, 2.6929804100655, 4.99371412675828, 4.75105408579111, 0.880130897276103, -0.837277150712907, 0.191290378570557, 2.03608832787722, -2.12004297645763, -4.06340352958068, -1.33631140226498), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxeval = 9000, xtol_rel = 0)",0.842993464727595,"(1.00002798766342, 0.999919625149971, 0.999886369485694, 0.999921348906887, 0.999858479751637, 0.999764430567045, 0.999591757184929, 0.999270192941138, 0.998557043760537, 0.997206898963908, 0.994509936687768, 0.98902979104306, 0.979150927214952, 0.95993629172711, 0.922839621906428, 0.852143021260865, 0.725363476329975, 0.531170199208928, 0.28257774560153, 0.0798108986154288)",9000,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0922927856445312,secs,0.1
nloptr,cobyla,Rosenbrock,20,"(-3.30419006291777, 4.16803405852988, -2.41098970174789, 0.251672032754868, -3.27666776953265, -4.91958325495943, 2.92588275391608, 3.19309774087742, 1.41840828116983, 4.38775383867323, 2.6929804100655, 4.99371412675828, 4.75105408579111, 0.880130897276103, -0.837277150712907, 0.191290378570557, 2.03608832787722, -2.12004297645763, -4.06340352958068, -1.33631140226498)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,3000,"x0 = c(-3.30419006291777, 4.16803405852988, -2.41098970174789, 0.251672032754868, -3.27666776953265, -4.91958325495943, 2.92588275391608, 3.19309774087742, 1.41840828116983, 4.38775383867323, 2.6929804100655, 4.99371412675828, 4.75105408579111, 0.880130897276103, -0.837277150712907, 0.191290378570557, 2.03608832787722, -2.12004297645763, -4.06340352958068, -1.33631140226498), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxeval = 3000, xtol_rel = 0)",55497.0308751938,"(-0.880482478573651, 0.741733274360245, 0.530834146891775, 0.193828973843239, -0.00629679486983945, -2.74680206991913, 1.70978644671919, 1.38046627030522, 1.26204509193517, 1.5161593653983, 2.21358878088489, 4.95526021080667, 2.47668488872801, 1.65931114905148, 1.32865271220892, 1.07853724662957, 0.836037068495342, 0.431234783279091, 0.136464607327738, 0.00696248210322404)",3000,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0968596935272217,secs,0.1
nloptr,bobyqa,Rosenbrock,20,"(-3.30419006291777, 4.16803405852988, -2.41098970174789, 0.251672032754868, -3.27666776953265, -4.91958325495943, 2.92588275391608, 3.19309774087742, 1.41840828116983, 4.38775383867323, 2.6929804100655, 4.99371412675828, 4.75105408579111, 0.880130897276103, -0.837277150712907, 0.191290378570557, 2.03608832787722, -2.12004297645763, -4.06340352958068, -1.33631140226498)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",-,2500,"x0 = c(-3.30419006291777, 4.16803405852988, -2.41098970174789, 0.251672032754868, -3.27666776953265, -4.91958325495943, 2.92588275391608, 3.19309774087742, 1.41840828116983, 4.38775383867323, 2.6929804100655, 4.99371412675828, 4.75105408579111, 0.880130897276103, -0.837277150712907, 0.191290378570557, 2.03608832787722, -2.12004297645763, -4.06340352958068, -1.33631140226498), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxeval = 2500, xtol_rel = 0)",25474.6537611606,"(0.49443506315828, 0.129186943120378, 0.92446311087478, 0.16339238218069, 1.19164641814459, 1.89533196347632, 1.24396235798203, 1.10662339997403, 1.2445174067413, 1.62558045118971, 2.112842820831, 4.15167020497682, 2.49644337618088, 1.98217309090443, 1.66806803736617, 1.72777579332062, 1.21310021582149, 1.15071947149009, 2.14073851292936, 4.27562923603268)",2500,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.0957727432250977,secs,0.1
stats,optim,Rosenbrock,20,"(-0.677649159915745, 1.15404708776623, 1.58753280993551, 3.93988623749465, 3.3905478217639, -3.71921091573313, -1.31534295622259, 4.07950915861875, 4.11105116829276, 2.33422537334263, 2.05385531997308, -4.04076607199386, 3.64057686878368, -4.84574621077627, -1.09302612720057, -4.68980349367484, -1.01313849678263, -0.976505356375128, -4.70766705693677, -0.300026703625917)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",300,-,"par = c(-0.677649159915745, 1.15404708776623, 1.58753280993551, 3.93988623749465, 3.3905478217639, -3.71921091573313, -1.31534295622259, 4.07950915861875, 4.11105116829276, 2.33422537334263, 2.05385531997308, -4.04076607199386, 3.64057686878368, -4.84574621077627, -1.09302612720057, -4.68980349367484, -1.01313849678263, -0.976505356375128, -4.70766705693677, -0.300026703625917), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, method = L-BFGS-B, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxit = 300, factr = 0)",1.25908618330752e-07,"(0.999998704614369, 0.99999837638699, 0.999998201611947, 0.999998112590897, 0.999998042119632, 0.999998020305137, 0.999997954551207, 0.999997899706022, 0.999997739946934, 0.999997466524118, 0.999996883545721, 0.999995760617289, 0.999993446018155, 0.999988881801575, 0.999979649319218, 0.999961195022397, 0.999924142394534, 0.999849731527242, 0.999700476457467, 0.999401018434463)",198,198,52,ERROR: ABNORMAL_TERMINATION_IN_LNSRCH,0.0908493995666504,secs,0.1
GA,ga,Rosenbrock,20,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",60,-,"type = real-valued, fitness = function (x) 
{
    return(-Rosenbrock(x))
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), maxiter = 60",199.2448732878,"(0.0788081303506079, -0.479408181700186, 0.745581445293018, 0.291451491344711, 0.206182420806947, -0.120316877979803, 0.1675228962373, 0.00828070057871194, -0.0127949771391805, -0.442859675983186, 0.520592914566753, 0.824437610565256, 0.885329974011633, 0.327025574669402, 0.406323946963993, 0.332582464796453, 0.507559237426617, 0.151180771289528, 0.253409810906068, -0.090160069165123)",60,-,-,-,0.0980789661407471,secs,0.1
DEoptim,DEoptim,Rosenbrock,20,-,"(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",30,-,"fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(itermax = 30, reltol = 0)",5635.19367211412,"(-0.864930309355259, 0.0616668042726813, -0.603955244583637, 0.899923839606345, 0.101325662340969, 0.139553872384131, -0.451381392776966, 0.775136351585388, 0.352674808390439, 0.877598654478788, -0.955616490449756, 1.02627721708268, 1.83293847413734, 2.0971068055369, 0.73176494659856, 1.5579054906033, -2.00510613620281, 0.613635296467692, -0.151566464919597, -1.40671452879906)",30,62,-,-,0.117485761642456,secs,0.1
pso,psoptim,Rosenbrock,20,"(-0.677649159915745, 1.15404708776623, 1.58753280993551, 3.93988623749465, 3.3905478217639, -3.71921091573313, -1.31534295622259, 4.07950915861875, 4.11105116829276, 2.33422537334263, 2.05385531997308, -4.04076607199386, 3.64057686878368, -4.84574621077627, -1.09302612720057, -4.68980349367484, -1.01313849678263, -0.976505356375128, -4.70766705693677, -0.300026703625917)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",150,-,"par = c(-0.677649159915745, 1.15404708776623, 1.58753280993551, 3.93988623749465, 3.3905478217639, -3.71921091573313, -1.31534295622259, 4.07950915861875, 4.11105116829276, 2.33422537334263, 2.05385531997308, -4.04076607199386, 3.64057686878368, -4.84574621077627, -1.09302612720057, -4.68980349367484, -1.01313849678263, -0.976505356375128, -4.70766705693677, -0.300026703625917), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lower = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), upper = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), control = list(maxit = 150, reltol = 0)",35.1665070504133,"(0.910845615233159, 0.846960079037559, 0.720044327101591, 0.53720909656637, 0.342503230618618, 0.179216570028706, -0.207595793391817, 0.188740693499893, 0.145259640496192, 0.257427907269905, 0.0388485010029662, 0.0769500828779336, 0.113211128536588, 0.0847265400908005, -0.00130512009985161, -0.0894898197952241, 0.0723020054471064, 0.15885622513944, 0.0684519540872272, -0.086823917322133)",150,2700,2,Maximal number of iterations reached,0.0942938327789307,secs,0.1
ABCoptim,abc_optim,Rosenbrock,20,"(-0.677649159915745, 1.15404708776623, 1.58753280993551, 3.93988623749465, 3.3905478217639, -3.71921091573313, -1.31534295622259, 4.07950915861875, 4.11105116829276, 2.33422537334263, 2.05385531997308, -4.04076607199386, 3.64057686878368, -4.84574621077627, -1.09302612720057, -4.68980349367484, -1.01313849678263, -0.976505356375128, -4.70766705693677, -0.300026703625917)","(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5)","(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",70,-,"par = c(-0.677649159915745, 1.15404708776623, 1.58753280993551, 3.93988623749465, 3.3905478217639, -3.71921091573313, -1.31534295622259, 4.07950915861875, 4.11105116829276, 2.33422537334263, 2.05385531997308, -4.04076607199386, 3.64057686878368, -4.84574621077627, -1.09302612720057, -4.68980349367484, -1.01313849678263, -0.976505356375128, -4.70766705693677, -0.300026703625917), fn = function (x, ...) 
{
    fn(unlist(x), ...)
}, lb = c(-5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5), ub = c(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5), criter = 2147483647, maxCycle = 70",25.3594045611904,"(0.562557171607981, 0.299419735705381, 0.100897889606535, 0.0591808366054853, 0.0666901362518851, 0.169458793206989, 0.0624093680186165, -0.0122098641955437, 0.0828370106357488, 0.0245850846056456, -0.0784047535214946, 0.00267012060952679, -0.0149770708940423, 0.0505936634048425, 0.140855284499483, 0.0502455491727392, 0.00176603201660985, 0.05833956668114, 0.0276255357618388, 0.127424056325738)",70,-,-,-,0.0925939083099365,secs,0.1
